season,year,google_issue_code,google_issues,TEC,CPT,TAX,CSP,HOM,POS,CPI,IMM,TRD,DEF,INT,AVI,FIN,TRA,WEL,SMB,LBR,EDU,GOV,BUD,HCR,CIV,CAW,MED,BEV,SCI,BAN,MIA,LAW,DIS,ENV,ADV,FOR,NAT,COM,ENG
2018 1st Quarter - Report,2018,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ', ' LAW  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
2017 4th Quarter - Report,2017,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ', ' LAW  ']",17,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1
2017 3rd Quarter - Report,2017,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ', ' LAW  ']",17,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1
2017 2nd Quarter - Report,2017,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2017 1st Quarter - Report,2017,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2016 4th Quarter - Report,2016,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2016 3rd Quarter - Report,2016,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2016 2nd Quarter - Report,2016,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2016 1st Quarter - Report,2016,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2015 4th Quarter - Report,2015,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
