season,year,microsoft_issue_code,microsoft_issues,TEC,CPT,TAX,CSP,HOM,POS,CPI,IMM,TRD,DEF,INT,AVI,FIN,TRA,WEL,SMB,LBR,EDU,GOV,BUD,HCR,CIV,CAW,MED,BEV,SCI,BAN,MIA,LAW,DIS,ENV,ADV,FOR,NAT,COM,ENG,MAN,TAR
2017 2nd Quarter - Report,2017,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2017 1st Quarter - Report,2017,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2016 4th Quarter - Report,2016,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2016 3rd Quarter - Report,2016,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2016 2nd Quarter - Report,2016,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2016 1st Quarter - Report,2016,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2015 4th Quarter - Report,2015,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2015 3rd Quarter - Report,2015,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2015 2nd Quarter - Report,2015,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2015 1st Quarter - Report,2015,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2014 4th Quarter - Report,2014,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2014 3rd Quarter - Report,2014,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2014 2nd Quarter - Report,2014,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2014 1st Quarter - Report,2014,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2013 4th Quarter - Report,2013,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2013 3rd Quarter - Report,2013,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2013 2nd Quarter - Report,2013,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2013 1st Quarter - Report,2013,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2012 4th Quarter - Report,2012,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2012 3rd Quarter - Report,2012,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2012 2nd Quarter - Report,2012,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2012 1st Quarter - Report,2012,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2011 4th Quarter - Report,2011,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2011 3rd Quarter - Report,2011,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2011 2nd Quarter - Report,2011,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2011 1st Quarter - Report,2011,"[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",10,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
