season,year,amazon_lobby,facebook_lobby,google_lobby,apple_lobby,microsoft_lobby,amazon_link,facebook_link,google_link,apple_link,microsoft_link
2019 1st Quarter - Report,2019,3890000.0,3400000.0,3360000.0,1930000.0,2790000.0,https://lda.senate.gov//filings/public/filing/4dff7532-6335-4510-b249-1358362f9bde/print/,https://lda.senate.gov//filings/public/filing/af507649-b307-4b02-8d1a-196f05a197c5/print/,https://lda.senate.gov//filings/public/filing/13f92882-f4e7-45b5-9f9f-40ef9d87a993/print/,https://lda.senate.gov//filings/public/filing/da4cfcaa-1beb-46f8-a334-35aee8227bbf/print/,https://lda.senate.gov//filings/public/filing/133afa37-ba04-4d3e-bd00-c15cc4abe5a0/print/
2018 4th Quarter - Report,2018,3710000.0,2830000.0,4900000.0,1530000.0,2340000.0,https://lda.senate.gov//filings/public/filing/f53236d0-d984-4473-b39e-0282aa855b73/print/,https://lda.senate.gov//filings/public/filing/a0e9745e-6d06-483e-b7b5-0f4f22b59988/print/,https://lda.senate.gov//filings/public/filing/a06c6f99-ae17-41f8-89f0-c3a71829fae6/print/,https://lda.senate.gov//filings/public/filing/87ced0cd-9e75-459c-81b2-1bedec824d60/print/,https://lda.senate.gov//filings/public/filing/3bb846c5-adf6-4b3c-b2fc-4167e08d0b37/print/
2018 3rd Quarter - Report,2018,3630000.0,2820000.0,5460000.0,1330000.0,2240000.0,https://lda.senate.gov//filings/public/filing/70dcd1ce-394b-4d13-9af9-506bc5eb5652/print/,https://lda.senate.gov//filings/public/filing/f40c6fd4-f713-4c2a-b9e3-89eabbf39f52/print/,https://lda.senate.gov//filings/public/filing/eb56d39d-a667-45f2-b1d4-3f155ed7f10f/print/,https://lda.senate.gov//filings/public/filing/1e574e75-c3e3-4963-8a4c-dd85350afc60/print/,https://lda.senate.gov//filings/public/filing/0b7bed71-6ae2-4375-a3fc-551280fbaa3a/print/
2018 2nd Quarter - Report,2018,3470000.0,3670000.0,5830000.0,1620000.0,2640000.0,https://lda.senate.gov//filings/public/filing/4a1d97b7-7149-4ecd-913b-3a6b9f8fba43/print/,https://lda.senate.gov//filings/public/filing/ec492847-d3dc-447e-add4-dab4dba46ef6/print/,https://lda.senate.gov//filings/public/filing/362e89f8-d39e-48b9-a33c-311148379f2f/print/,https://lda.senate.gov//filings/public/filing/e8956390-98aa-47df-806a-e1f32f8a400c/print/,https://lda.senate.gov//filings/public/filing/b1094538-b2bd-4b84-a0fb-7f7d2d83f4e7/print/
2018 2nd Quarter - Amendment,2018,0.0,0.0,5830000.0,1680000.0,0.0,0,0,https://lda.senate.gov//filings/public/filing/2ee51c0a-e53c-4dbe-981f-5fcc60bfa800/print/,https://lda.senate.gov//filings/public/filing/f3fe30d2-86ab-4ddc-bdba-55cc952f959e/print/,0
2018 1st Quarter - Report,2018,3380000.0,3300000.0,5020000.0,2140000.0,2300000.0,https://lda.senate.gov//filings/public/filing/5dab3f18-708d-4acd-a67e-e2af8177540e/print/,https://lda.senate.gov//filings/public/filing/5b785e8b-b0b2-489e-9d7b-bb25f40c3ca5/print/,https://lda.senate.gov//filings/public/filing/f0996706-c49e-44ed-bd85-1dc4d3ce2e7b/print/,https://lda.senate.gov//filings/public/filing/dc4ecbfc-b71a-4e6a-a4b8-bfd72e7772bc/print/,https://lda.senate.gov//filings/public/filing/6bba5be0-7b9d-47c4-abf6-34707a6e0aed/print/
2017 4th Quarter - Report,2017,3320000.0,3070000.0,4420000.0,1610000.0,2180000.0,https://lda.senate.gov//filings/public/filing/66f00011-a806-4fc6-a47a-ab744b633b27/print/,https://lda.senate.gov//filings/public/filing/9a0fd12e-a96b-418a-bcdd-8b9d5be48688/print/,https://lda.senate.gov//filings/public/filing/dbf023e3-e1d3-416e-93ab-2a35277ffe09/print/,https://lda.senate.gov//filings/public/filing/0936194e-c495-41db-8f85-fedd6e7129e4/print/,https://lda.senate.gov//filings/public/filing/974fd427-8c52-464a-a0af-cfb022a4c56a/print/
2017 4th Quarter - Amendment,2017,0.0,0.0,0.0,1660000.0,0.0,0,0,0,https://lda.senate.gov//filings/public/filing/788a33a5-5d18-43a1-bf9c-fc49d845b0ee/print/,0
2017 3rd Quarter - Report,2017,3410000.0,2850000.0,4170000.0,1860000.0,1950000.0,https://lda.senate.gov//filings/public/filing/8fbc28b7-e74a-4f14-ba82-fde29b697cbb/print/,https://lda.senate.gov//filings/public/filing/1183bad1-706e-41c4-b88a-b4e7fb331bf1/print/,https://lda.senate.gov//filings/public/filing/5c7b115e-183a-4402-adb2-82ed87a01f7f/print/,https://lda.senate.gov//filings/public/filing/95a9c9be-9c2a-4c22-ab70-300083f748b3/print/,https://lda.senate.gov//filings/public/filing/7ea78ccf-0dc2-4046-9b22-09d5c6878ba9/print/
2017 2nd Quarter - Report,2017,3210000.0,2380000.0,5930000.0,2200000.0,2070000.0,https://lda.senate.gov//filings/public/filing/28e3539b-17d6-4025-aefa-1b1dc0c45887/print/,https://lda.senate.gov//filings/public/filing/ce52d180-6bf8-4496-9614-2ece333b3bfc/print/,https://lda.senate.gov//filings/public/filing/8cf63bdb-f5a6-4547-8a3b-3e24714dc8ff/print/,https://lda.senate.gov//filings/public/filing/2a55cf53-677b-4730-af05-13548e8dd5a3/print/,https://lda.senate.gov//filings/public/filing/51da8097-6d28-4c21-ad59-45cb95666448/print/
