,2021 2nd Quarter - Report,2021 1st Quarter - Report,2020 4th Quarter - Report,2020 3rd Quarter - Report,2020 2nd Quarter - Report,2020 1st Quarter - Report,2019 4th Quarter - Report,2019 3rd Quarter - Report,2019 2nd Quarter - Report,2019 1st Quarter - Report,2018 4th Quarter - Report,2018 3rd Quarter - Report,2018 2nd Quarter - Report,2018 1st Quarter - Report,2017 4th Quarter - Report,2017 3rd Quarter - Report,2017 2nd Quarter - Report,2017 1st Quarter - Report,2016 4th Quarter - Report,2016 3rd Quarter - Report,2016 2nd Quarter - Report,2016 1st Quarter - Report,2015 4th Quarter - Report,2015 3rd Quarter - Report,2015 2nd Quarter - Report,2015 1st Quarter - Report,2014 4th Quarter - Report,2014 3rd Quarter - Report,2014 2nd Quarter - Report,2014 1st Quarter - Report,2013 4th Quarter - Report,2013 3rd Quarter - Report,2013 2nd Quarter - Report,2013 1st Quarter - Report,2012 4th Quarter - Report,2012 3rd Quarter - Report,2012 2nd Quarter - Report,2012 1st Quarter - Report,2011 4th Quarter - Report,2011 3rd Quarter - Report,2011 2nd Quarter - Report,2011 1st Quarter - Report
surface transportation,0.01877515381137447,0.0061645546774321885,0.004669051675139162,0.005083369219540841,0.005362566671335938,0.006040845660617956,0.007647060069898439,0.007814516557995333,0.008067919676994571,0.007071066741966952,0.009323364348019274,0.011270617143216395,0.012262653624495832,0.011928575989079796,0.0122642712266414,0.011561332896349457,0.011744999886347637,0.012906153688175754,0.012138356496436855,0.012138356496436855,0.012138356496436855,0.013505525278753436,0.02733876568603792,0.015131706723904279,0.015525882047883221,0.020586331475186667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
health care,0.017537497023320827,0.017274563030221755,0.01308380437419539,0.014244821659271168,0.0150271999868685,0.016927900648235326,0.021428899261280936,0.021898152566639618,0.022608248977534058,0.01981482759366061,0.026126306523518213,0.03158297661674543,0.03436290114022769,0.033426735355031725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agencies appropriations,0.017537497023320827,0.017274563030221755,0.019625706561293085,0.021367232488906752,0.0150271999868685,0.016927900648235326,0.021428899261280936,0.021898152566639618,0.022608248977534058,0.01981482759366061,0.026126306523518213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017007295364629908,0.017007295364629908,0.017007295364629908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
internet things,0.0164683845189754,0.01622147938218723,0.01228619575066942,0.020064653483090306,0.021166678514460434,0.023843925099754446,0.030183841432778653,0.0308448117975209,0.02123001571818725,0.0186068855524639,0.024533607122941736,0.029657630304183773,0.03226808639866278,0.03138899070424217,0.03227234297537042,0.015211311523872739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modernization cloud,0.015518322747645483,0.00764283078911009,0.005788702309566329,0.006302374269750914,0.0066485239906111234,0.007489456030985275,0.009480844798466313,0.009688457784323761,0.010002627624853204,0.008766726784856533,0.011559131166116073,0.01397334020408546,0.015203269592302214,0.014789079278238143,0.015205275099614517,0.014333770344653244,0.014561481152579112,0.01600108263101077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
urban development,0.012839137722884536,0.012646644703787348,0.014367908323193958,0.015642873114513546,0.011001358401610708,0.012392854436011486,0.01568801913406155,0.01603155777052759,0.01655141676773091,0.014506363142466736,0.019126973889129685,0.023121782198555322,0.02515695482146445,0.024471591258374455,0.02516027334821578,0.02371818843258993,0.024094983073543394,0.026477101547069358,0.02490195803767117,0.02490195803767117,0.02490195803767117,0.027706718274994508,0.028042873683734794,0.031042845544009292,0.03185150010775443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
housing urban,0.012839137722884536,0.012646644703787348,0.014367908323193958,0.015642873114513546,0.011001358401610708,0.012392854436011486,0.01568801913406155,0.01603155777052759,0.01655141676773091,0.014506363142466736,0.019126973889129685,0.023121782198555322,0.02515695482146445,0.024471591258374455,0.02516027334821578,0.02371818843258993,0.024094983073543394,0.026477101547069358,0.02490195803767117,0.02490195803767117,0.02490195803767117,0.027706718274994508,0.028042873683734794,0.031042845544009292,0.03185150010775443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transportation housing,0.012839137722884536,0.012646644703787348,0.014367908323193958,0.015642873114513546,0.011001358401610708,0.012392854436011486,0.01568801913406155,0.01603155777052759,0.01655141676773091,0.014506363142466736,0.019126973889129685,0.023121782198555322,0.02515695482146445,0.024471591258374455,0.02516027334821578,0.02371818843258993,0.024094983073543394,0.026477101547069358,0.02490195803767117,0.02490195803767117,0.02490195803767117,0.027706718274994508,0.028042873683734794,0.031042845544009292,0.03185150010775443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
facial recognition,0.00937991445759245,0.009239284448647451,0.013995721926182599,0.01523766002069124,0.016074568705730905,0.018107744772920258,0.022922454866152898,0.023424414280013826,0.012092001564603315,0.021195885316282727,0.013973631468479441,0.016892126543900557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial intelligence,0.008768748511660414,0.008637281515110878,0.006541902187097695,0.014244821659271168,0.0150271999868685,0.016927900648235326,0.021428899261280936,0.021898152566639618,0.022608248977534058,0.01981482759366061,0.013063153261759107,0.015791488308372716,0.017181450570113846,0.016713367677515863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
