,2021 2nd Quarter - Report,2021 1st Quarter - Report,2020 4th Quarter - Report,2020 3rd Quarter - Report,2020 2nd Quarter - Report,2020 1st Quarter - Report,2019 4th Quarter - Report,2019 3rd Quarter - Report,2019 2nd Quarter - Report,2019 1st Quarter - Report,2018 4th Quarter - Report,2018 3rd Quarter - Report,2018 2nd Quarter - Report,2018 1st Quarter - Report,2017 4th Quarter - Report,2017 3rd Quarter - Report,2017 2nd Quarter - Report,2017 1st Quarter - Report,2016 4th Quarter - Report,2016 3rd Quarter - Report,2016 2nd Quarter - Report,2016 1st Quarter - Report,2015 4th Quarter - Report,2015 3rd Quarter - Report,2015 2nd Quarter - Report,2015 1st Quarter - Report,2014 4th Quarter - Report,2014 3rd Quarter - Report,2014 2nd Quarter - Report,2014 1st Quarter - Report,2013 4th Quarter - Report,2013 3rd Quarter - Report,2013 2nd Quarter - Report,2013 1st Quarter - Report,2012 4th Quarter - Report,2012 3rd Quarter - Report,2012 2nd Quarter - Report,2012 1st Quarter - Report,2011 4th Quarter - Report,2011 3rd Quarter - Report,2011 2nd Quarter - Report,2011 1st Quarter - Report
science education,0.06048373002775382,0.03498103287565508,0.022455396268384352,0.023119763478904504,0.02218990303972151,0.02218990303972151,0.02170820018250486,0.02078713432562944,0.019350136228872914,0.019350136228872914,0.019350136228872914,0.019731952191846758,0.01908599947424305,0.018824812565468852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021587828423774238,0.02125551346360634,0.021264594230481267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computer science,0.06048373002775382,0.03498103287565508,0.022455396268384352,0.023119763478904504,0.02218990303972151,0.02218990303972151,0.02170820018250486,0.02078713432562944,0.019350136228872914,0.019350136228872914,0.019350136228872914,0.019731952191846758,0.01908599947424305,0.018824812565468852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021587828423774238,0.02125551346360634,0.021264594230481267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
essential patents,0.05873574112164577,0.03397007575771959,0.02180643193464725,0.02245159883273564,0.021548611500273658,0.021548611500273658,0.02108082992817069,0.020186383013263202,0.018790914377901938,0.018790914377901938,0.018790914377901938,0.019161695802047782,0.018534411215257496,0.018280772647479272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219793873298933,0.0,0.0219793873298933,0.0219793873298933,0.02250430031447982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standard essential,0.05873574112164577,0.03397007575771959,0.02180643193464725,0.02245159883273564,0.021548611500273658,0.021548611500273658,0.02108082992817069,0.020186383013263202,0.018790914377901938,0.018790914377901938,0.018790914377901938,0.019161695802047782,0.018534411215257496,0.018280772647479272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219793873298933,0.0,0.0219793873298933,0.0219793873298933,0.02250430031447982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mobile payments,0.04737507576116926,0.02739958468050282,0.017588632496270226,0.01810901123146375,0.017380679682906897,0.017380679682906897,0.017003376409042356,0.01628193339072195,0.01515637625872533,0.01515637625872533,0.01515637625872533,0.01545544115046414,0.01494948593043114,0.014744906127146431,0.015054885902509592,0.015379292128570395,0.01697399863660872,0.021763301371071617,0.01905059939310557,0.017286853961974488,0.016820025134776508,0.017330054462879284,0.017330054462879284,0.01970980189594827,0.018679497269202826,0.020177201034961456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mobile devices,0.04619931275618342,0.02671957694433119,0.017152114705741295,0.017659578589494657,0.016949322902060946,0.016949322902060946,0.01658138360754509,0.015877845489586692,0.014780222633462714,0.014780222633462714,0.014780222633462714,0.01507186527985105,0.014578466945909236,0.01437896444034711,0.01468125108284853,0.014997606137843933,0.01655273493786098,0.021223175910429354,0.018577798249691285,0.016857825764456713,0.016402582777615957,0.01689995410769327,0.01689995410769327,0.019220640548287687,0.01821590620390126,0.019676439692844203,0.01648943999682439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
student privacy,0.04396877878150641,0.025429537750937554,0.01632399904110746,0.016806962226341624,0.016130998162462776,0.016130998162462776,0.015780823225208417,0.015111252402020577,0.014066623517579408,0.014066623517579408,0.014066623517579408,0.014344185460328993,0.01387460873067628,0.013684738340618513,0.01397243038017099,0.014273511599775118,0.01575355773261607,0.020198506665486452,0.01768084962213653,0.01604391856836377,0.01561065501992377,0.01608401292677934,0.01608401292677934,0.018292655061051794,0.017336429968361516,0.01872644791553799,0.015693318714016084,0.015451741632663748,0.015458342915846959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
technology agreement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0231588888937601,0.025015745885524875,0.020963936931394287,0.020641225923618885,0.020650044254963643,0.0219793873298933,0.026279601516824697,0.0219793873298933,0.0219793873298933,0.02250430031447982,0.021074244868622288,0.017494660913209243,0.019233300011336888,0.019938371451900458,0.02547509118178221,0.02547509118178221,0.02547509118178221,0.03867836527642462
partnership tpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025064982098779505,0.022744412191981523,0.022130202845836427,0.022801251337012773,0.022801251337012773,0.025932298585377957,0.02457672092124366,0.026547258294025777,0.022247389749007005,0.021904921748374804,0.02191427995504203,0.02332500798741913,0.02788848961465131,0.02332500798741913,0.02332500798741913,0.023882057161466328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proceedings 21st,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022247389749007005,0.021904921748374804,0.02191427995504203,0.02332500798741913,0.02788848961465131,0.02332500798741913,0.02332500798741913,0.023882057161466328,0.022364450951773994,0.018565717934403217,0.020410799885159456,0.021159037164752734,0.02703472559888617,0.02703472559888617,0.02703472559888617,0.04104632970300809
